аббревиатура аббревиатуры
палестина палестина
панама панама
пандемия пандемии
панель панель
папуа папуа
парагвай парагвай
паралимпийский паралимпийская паралимпийские паралимпийский паралимпийских паралимпийского
париж париж
пекин пекин
первый первое первой
перевод переводами
переименовать переименованных переименовано
перейти перейти
переместить переместить
перенаправление перенаправлений
перенести перенесены перенести
период период
персональный персональные
перу перу
печать печати печать
поведение поведения
подраздел подраздел
подробный подробнее
подтверждать подтверждающие
пожертвовать пожертвовать
поздний позже
поиск поиск
политика политика
получить получить
польша польша
портал портал
португалия португалия
последний последний
постоянный постоянная
почтовый почтовые почтовых
появление появление
править править
правка правки
право права
предназначаться предназначается
представить представлены
представлять представлявшая представлять
прежний прежним
преобразовать преобразовать
признаваться признаются
примечание примечания
принсипи принсипи
принять приняты
приостановить приостановлена
приостановка приостановкой
причина причинам
проведение проведения
проект проект проектах проектов
проставить проставив
пространство пространстве
противный противном
пуэрто-рико пуэрто-рико
пхёнчхан пхёнчхан
работа работ
радиолюбитель радиолюбителей
раз раз
развитие развитию
разделить разделена разделено разделён
различие различия
различный различным
разный разных
разработчик разработчики
разрешить разрешили
распад распада
регистрация регистрации
республика республика республики
рим рим
рио-де-жанейро рио-де-жанейро
родезия родезия
россия россии россия
руанда руанда
румыния румыния
русский русский
рф рф
саар саар
сайт сайта
сальвадор сальвадор
самоа самоа
сан-марино сан-марино
сан-томе сан-томе
санкт-мориц санкт-мориц
санкция санкций санкциями
саппоро саппоро
сараево сараево
саудовский саудовская
сборная сборная сборной сборными
сведение сведения
свежий свежие
свободный свободной
свой своей свою
связанный связанные связанных
связаться свяжитесь
связь связи
северный северная северное северный
сейчас сейчас
сейшелы сейшелы
сенегал сенегал
сент-винсент сент-винсент
сент-китс сент-китс
сент-люсия сент-люсия
сента-луиса сент-луис
сентябрь сентября
сербия сербию сербия
сеул сеул
сидней сидней
символ символов символы
сингапур сингапур
сирия сирии сирию сирия
система система системой системы
скандал скандала
скачать скачать
скво-вэлли скво-вэлли
скрытый скрытые
скрыть скрыть
словакия словакию словакия
словения словения
сложно сложно
служебный служебные служебный
случай случае случаях
случайный случайная
смешанный смешанная
смотреть см
сноска сноски сносок
событие события
совпадать совпадают
современность современности
содержание содержание содержанию
создать созданный создать
сокращение сокращений
соломонов соломоновы
солт-лейк-сити солт-лейк-сити
сомали сомали
сообщество сообщество
сообщить сообщить
сопровождать сопровождал
соревнование соревнований
состав состав составе
сотовый сотовых
сохранение сохранением
сочи сочи
специальный специальные
список списки список
спорт спорт спорта
спортивный спортивные спортивных
спортмен спортменов
спортсмен спортсменами спортсменов спортсмены
спортсмен-беженец спортсменов-беженцев
справка справка
сразу сразу
српски српски
ссср ссср
ссылка ссылка ссылки
стандартный стандартные
статистика статистика
статус статусе
стать стал статей
статья статье статьи статью статья
стокгольм стокгольм
страна стран страна странам странах стране страну страны
страница страница странице страницу страницы
судан судан судана
судно судов
суринам суринам
существовать существовало
существующий существующих
схожий схожей
сша сша
сьерра-леоне сьерра-леоне
сюда сюда
таджикистан таджикистан
таиланд таиланд
тайвань тайвань
танзания танзания
текст текст
текущий текущие
телефонный телефонные
тема тему темы
территория территория
тимор тимор тимора
тобаго тобаго
товарный товарный
токио токио
тонга тонга
тот тот
три три
тринидад тринидад
трёхбуквенный трёхбуквенные
тувалу тувалу
тунис тунис
турин турин
туркменистан туркменистан
турнир турнире
турция турция
уганда уганда
удалить удалены
узбекистан узбекистан
указание указанием
укра укра
украина украина украину
улучшить улучшить
универсальный универсальная
уругвай уругвай
условие условий условия
устанавливаться устанавливается
утверждение утверждение
участвовать участвовал участвовала участвовали участвуют участвующих
участие участие
участник участника участники
учётный учётную
федеративный федеративные
федерация федерация
фиджи фиджи
филиппина филиппины
финляндия финляндия
фифа фифа
флаг флаг флаги флагом
фонд фонд
форум форум
франция франция
французский французские
фрг фрг
хватать хватает
хельсинки хельсинки
хорватия хорватия
цейлон цейлон
центральноафриканский центральноафриканская
церемония церемонии
цитировать цитировать
чадо чад
часть частью
черногория черногорию черногория
чехия чехию чехия
чехословакия чехословакия
чили чили
число числа
читать читать
членство членства
шаблон шаблон
шамонь шамони
швейцария швейцария
швеция швеция
шри-ланка шри-ланка
штат штаты
штрихкод штрихкоды
эквадор эквадор
экваториальный экваториальная
экспорт экспорт
элемент элемент
энциклопедия энциклопедии
эритрея эритрея
эсватиня эсватини
эстония эстония
этот этих этой этот
эфиопия эфиопии эфиопия
юар юар
югославия югославии югославия
южный южного южный
являться являются
язык языках языков
ямайка ямайка
япония япония
